         4770736 function calls (4687915 primitive calls) in 4.446 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       89    0.002    0.000    0.012    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:62(<listcomp>)
     3711    0.002    0.000    0.014    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/package/package_importer.py:695(_patched_getfile)
     1374    0.002    0.000    0.003    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1785(_save_to_state_dict)
     1411    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
   155/46    0.001    0.000    0.008    0.000 /usr/lib/python3.8/copy.py:226(_deepcopy_dict)
      990    0.001    0.000    0.003    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1690(__setattr__)
     7274    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      812    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
2123/2030    0.001    0.000    0.012    0.000 /usr/lib/python3.8/typing.py:255(inner)
       20    0.001    0.000    0.001    0.000 {method 'prod' of 'torch._C.TensorBase' objects}
     1612    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
1446/1424    0.001    0.000    0.001    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/configuration_utils.py:262(__getattribute__)
        4    0.001    0.000    0.014    0.003 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/utils/_config_module.py:73(get_assignments_with_compile_ignored_comments)
     6569    0.001    0.000    0.001    0.000 /usr/lib/python3.8/sre_parse.py:233(__next)
      740    0.001    0.000    0.003    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/functional.py:1252(dropout)
     1278    0.001    0.000    0.001    0.000 {method 'detach' of 'torch._C.TensorBase' objects}
     2689    0.001    0.000    0.003    0.000 /usr/lib/python3.8/typing.py:762(__setattr__)
1619/1569    0.001    0.000    0.002    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/configuration_utils.py:257(__setattr__)
      320    0.001    0.000    0.001    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/storage.py:308(__getitem__)
     4554    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
   806/70    0.001    0.000    0.686    0.010 <frozen importlib._bootstrap_external>:842(exec_module)
 1004/217    0.001    0.000    0.643    0.003 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      806    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
        3    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
      141    0.001    0.000    0.002    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/core/facts.py:599(deduce_all_facts)
     6225    0.001    0.000    0.002    0.000 /usr/lib/python3.8/sre_parse.py:254(get)
       20    0.001    0.000    0.001    0.000 {method 'cumsum' of 'torch._C.TensorBase' objects}
     3301    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
     6032    0.001    0.000    0.011    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:19(ambiguous)
    15960    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     7602    0.001    0.000    0.002    0.000 /usr/lib/python3.8/inspect.py:72(isclass)
       40    0.001    0.000    0.001    0.000 {built-in method torch.embedding}
     1027    0.001    0.000    0.002    0.000 /usr/lib/python3.8/inspect.py:2489(__init__)
    13644    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
     2418    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        3    0.001    0.000    0.254    0.085 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/tokenization_utils_base.py:2042(_from_pretrained)
     6562    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      359    0.001    0.000    0.004    0.000 /usr/lib/python3.8/typing.py:659(__init__)
      982    0.001    0.000    0.002    0.000 /usr/lib/python3.8/dataclasses.py:610(_is_type)
     2130    0.001    0.000    0.002    0.000 /usr/lib/python3.8/os.py:670(__getitem__)
        1    0.001    0.001    0.001    0.001 {method 'encode_batch' of 'tokenizers.Tokenizer' objects}
     4425    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
       50    0.001    0.000    0.001    0.000 {built-in method io.open}
   406/91    0.001    0.000    0.001    0.000 /usr/lib/python3.8/sre_parse.py:174(getwidth)
      809    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      191    0.001    0.000    0.019    0.000 /usr/lib/python3.8/dataclasses.py:487(_init_fn)
     3704    0.001    0.000    0.016    0.000 /usr/lib/python3.8/inspect.py:714(getabsfile)
      740    0.001    0.000    0.001    0.000 {built-in method torch.dropout}
     3710    0.001    0.000    0.015    0.000 /usr/lib/python3.8/inspect.py:692(getsourcefile)
     5590    0.001    0.000    0.001    0.000 /usr/lib/python3.8/sre_parse.py:172(append)
      806    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
